NO;PENGUASAAN TANAH;PEMILIKAN TANAH;PENGGUNAAN TANAH;PEMANFAATAN TANAH;POTENSI TOL;Luas  m2
95;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;86
96;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;206
97;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;165
98;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;138
99;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;125
100;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;136
101;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;149
102;Fasos Fasum;Terdaftar dalam HGU baru (diluar penyisihan);PAUD;Sarana Pendidikan;Sengketa, Konflik dan Perkara;146
103;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;129
104;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;146
105;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;429
106;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;138
107;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;163
108;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;243
109;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;148
110;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;226
111;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;156
112;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;116
113;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;145
114;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;5.186
115;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;962
116;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;245
117;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;185
118;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;226
119;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;107
120;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;134
121;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;156
122;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;357
123;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;310
124;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;129
125;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;170
126;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;141
127;Aset Desa;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;355
128;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;215
129;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;314
130;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;419
131;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;105
132;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;118
133;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;179
134;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;247
135;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;193
136;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;117
137;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;145
138;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;148
139;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;145
140;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;198
141;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;394
142;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;331
143;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;529
144;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;292
145;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;242
146;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;208
147;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;199
148;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;213
149;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;179
150;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;205
151;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;289
152;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;209
153;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;168
154;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;166
155;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;60
156;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;374
157;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;180
158;Fasos Fasum;Tidak terdaftar (dalam areal penyisihan HGU Lama);Madrasah;Sarana Pendidikan;Legalisasi aset;447
159;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;176
160;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;248
161;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;183
162;Fasos Fasum;Tidak terdaftar (dalam areal penyisihan HGU Lama);Masjid;Sarana Ibadah;Legalisasi aset;172
163;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;66
164;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;207
165;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;201
166;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;187
167;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;176
168;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;184
169;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;171
170;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;208
171;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;227
172;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;181
173;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;257
174;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;217
175;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;282
176;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;157
177;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;147
178;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;222
179;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;158
180;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;98
181;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;158
182;Pemilik;Terdaftar (di luar areal penyisihan / tumpang tindih dengan HGU baru);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;165
183;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;158
184;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;419
185;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;237
186;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;365
187;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;124
188;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Potensi TORA;207
189;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;220
190;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;315
191;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;289
192;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;210
193;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Rumah Tinggal;Tempat tinggal;Sengketa, Konflik dan Perkara;153
194;Penggarap;Terdaftar dalam HGU baru (diluar penyisihan);Tegalan;Tanaman semusim;Sengketa, Konflik dan Perkara;167
195;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;290
196;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;149
197;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;226
198;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Akses Reform;80
199;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;190
200;Penggarap;Tidak terdaftar (dalam areal penyisihan HGU Lama);Tegalan;Tanaman semusim;Potensi TORA;94
201;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;171
202;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;214
203;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;198
204;Pemilik;Terdaftar (dari areal penyisihan HGU Lama);Rumah Tinggal;Tempat tinggal;Akses Reform;231
